,State Code,District Code,Sub District Code,Category,Name,Residence,Inhabited Villages,Uninhabited Villages,Towns,Households,Population (Person),Population (Male),Population (Female),Area,Population Density
11175,22,401,3245,SUB-DISTRICT,Ramanujnagar,Total,76,0,0,27496,122233,61370,60863,435.74508836511643,280.51492320569633
11176,22,401,3245,SUB-DISTRICT,Ramanujnagar,Rural,76,0,0,27496,122233,61370,60863,435.74508836511643,280.51492320569633
11177,22,401,3245,SUB-DISTRICT,Ramanujnagar,Urban,0,0,0,0,0,0,0,0.0,0.0
11178,22,401,3246,SUB-DISTRICT,Premnagar,Total,46,0,1,14531,64797,32579,32218,576.2073303166223,112.45431390883981
11179,22,401,3246,SUB-DISTRICT,Premnagar,Rural,46,0,0,13459,59843,30061,29782,564.1473303166224,106.07690010057067
11180,22,401,3246,SUB-DISTRICT,Premnagar,Urban,0,0,1,1072,4954,2518,2436,12.06,410.77943615257044
11181,22,401,3247,SUB-DISTRICT,Ambikapur,Total,122,0,1,60392,279717,142833,136884,732.5366033033911,381.8471305578583
11182,22,401,3247,SUB-DISTRICT,Ambikapur,Rural,122,0,0,36312,158646,80057,78589,692.3666033033911,229.13583532636426
11183,22,401,3247,SUB-DISTRICT,Ambikapur,Urban,0,0,1,24080,121071,62776,58295,40.17,3013.9656460044807
11184,22,401,3248,SUB-DISTRICT,Lakhanpur,Total,96,0,1,28334,118969,59782,59187,671.5967995174674,177.14348860131184
11185,22,401,3248,SUB-DISTRICT,Lakhanpur,Rural,96,0,0,26946,112699,56610,56089,664.9067995174673,169.49593549319593
11186,22,401,3248,SUB-DISTRICT,Lakhanpur,Urban,0,0,1,1388,6270,3172,3098,6.69,937.219730941704
11187,22,401,3249,SUB-DISTRICT,Udaypur,Total,87,0,0,18029,78918,39780,39138,711.7065730525085,110.88558541973389
11188,22,401,3249,SUB-DISTRICT,Udaypur,Rural,87,0,0,18029,78918,39780,39138,711.7065730525085,110.88558541973389
11189,22,401,3249,SUB-DISTRICT,Udaypur,Urban,0,0,0,0,0,0,0,0.0,0.0
11190,22,401,3250,SUB-DISTRICT,Rajpur,Total,86,0,1,23892,109022,54624,54398,748.94467408543,145.56749486620177
11191,22,401,3250,SUB-DISTRICT,Rajpur,Rural,86,0,0,22905,104184,52370,51814,742.94467408543,140.2311687990108
11192,22,401,3250,SUB-DISTRICT,Rajpur,Urban,0,0,1,987,4838,2254,2584,6.0,806.3333333333334
11193,22,401,3251,SUB-DISTRICT,Lundra,Total,112,0,0,27455,119800,60457,59343,587.3922866201682,203.95228662147477
11194,22,401,3251,SUB-DISTRICT,Lundra,Rural,112,0,0,27455,119800,60457,59343,587.3922866201682,203.95228662147477
11195,22,401,3251,SUB-DISTRICT,Lundra,Urban,0,0,0,0,0,0,0,0.0,0.0
11196,22,401,3252,SUB-DISTRICT,Sitapur,Total,51,0,1,21338,96131,47843,48288,523.3310996797666,183.6905929321301
11197,22,401,3252,SUB-DISTRICT,Sitapur,Rural,51,0,0,19410,86770,43134,43636,514.9910996797665,168.48834873836773
