,District Code,Age Group,Total Persons
294,257,40-44,511
295,257,45-49,395
296,257,50-54,252
297,257,55-59,175
298,257,60-64,155
299,257,65-69,95
300,257,70-74,36
301,257,75-79,15
302,257,80+,58
303,257,Age not stated,17
304,258,All ages,54080
305,258,0-4,5416
306,258,5-9,6472
307,258,10-14,7003
308,258,15-19,6173
309,258,20-24,5244
310,258,25-29,4832
311,258,30-34,3860
312,258,35-39,3608
313,258,40-44,3113
314,258,45-49,2673
315,258,50-54,1984
316,258,55-59,1216
317,258,60-64,974
318,258,65-69,599
319,258,70-74,423
320,258,75-79,179
321,258,80+,277
322,258,Age not stated,34
323,259,All ages,145726
324,259,0-4,16204
325,259,5-9,18539
326,259,10-14,18187
327,259,15-19,15267
328,259,20-24,13737
329,259,25-29,12956
330,259,30-34,10485
331,259,35-39,9845
332,259,40-44,8226
333,259,45-49,6937
334,259,50-54,5000
335,259,55-59,3213
336,259,60-64,2690
337,259,65-69,1665
338,259,70-74,1197
339,259,75-79,565
340,259,80+,865
341,259,Age not stated,148
342,260,All ages,21167
343,260,0-4,2388
344,260,5-9,2697
345,260,10-14,2702
346,260,15-19,2036
347,260,20-24,1996
348,260,25-29,2094
349,260,30-34,1549
350,260,35-39,1333
351,260,40-44,1029
352,260,45-49,844
353,260,50-54,648
354,260,55-59,485
355,260,60-64,484
356,260,65-69,357
357,260,70-74,217
358,260,75-79,95
359,260,80+,170
360,260,Age not stated,43
361,532,All ages,2741239
362,532,0-4,208808
363,532,5-9,256466
364,532,10-14,291813
365,532,15-19,280583
366,532,20-24,260882
367,532,25-29,237826
368,532,30-34,205149
369,532,35-39,195268
370,532,40-44,164943
371,532,45-49,139191
372,532,50-54,106868
373,532,55-59,83269
374,532,60-64,91285
375,532,65-69,60783
376,532,70-74,41190
377,532,75-79,17166
378,532,80+,21961
379,532,Age not stated,77788
380,533,All ages,2551335
381,533,0-4,194793
382,533,5-9,228282
383,533,10-14,264999
384,533,15-19,246388
385,533,20-24,238689
386,533,25-29,226622
387,533,30-34,194416
388,533,35-39,192968
389,533,40-44,157554
390,533,45-49,131463
391,533,50-54,103161
392,533,55-59,83669
393,533,60-64,98405
394,533,65-69,63522
395,533,70-74,45906
396,533,75-79,18744
397,533,80+,24166
398,533,Age not stated,37588
399,534,All ages,3776269
400,534,0-4,228896
401,534,5-9,285016
402,534,10-14,371045
403,534,15-19,367249
404,534,20-24,358220
405,534,25-29,329808
406,534,30-34,282262
407,534,35-39,290961
408,534,40-44,246670
409,534,45-49,211842
410,534,50-54,165896
411,534,55-59,133976
412,534,60-64,156440
413,534,65-69,106880
414,534,70-74,84138
415,534,75-79,36530
416,534,80+,44634
417,534,Age not stated,75806
418,535,All ages,3033288
419,535,0-4,253162
420,535,5-9,286523
421,535,10-14,321072
422,535,15-19,299463
423,535,20-24,292001
424,535,25-29,283548
425,535,30-34,229396
426,535,35-39,225886
427,535,40-44,175967
428,535,45-49,148489
429,535,50-54,115440
430,535,55-59,94988
431,535,60-64,114728
432,535,65-69,76197
433,535,70-74,55849
434,535,75-79,23290
435,535,80+,28876
436,535,Age not stated,8413
437,536,All ages,3943323
438,536,0-4,326729
439,536,5-9,353598
440,536,10-14,377399
441,536,15-19,379760
442,536,20-24,414782
443,536,25-29,396862
444,536,30-34,332567
445,536,35-39,292188
446,536,40-44,245833
447,536,45-49,197655
448,536,50-54,157723
449,536,55-59,118014
450,536,60-64,99234
451,536,65-69,63579
452,536,70-74,44375
453,536,75-79,24049
454,536,80+,35695
455,536,Age not stated,83281
456,537,All ages,5296741
457,537,0-4,445310
458,537,5-9,464289
459,537,10-14,484906
460,537,15-19,478399
461,537,20-24,534397
462,537,25-29,559687
463,537,30-34,459760
464,537,35-39,415783
465,537,40-44,316773
466,537,45-49,263548
467,537,50-54,200127
468,537,55-59,158063
469,537,60-64,151221
470,537,65-69,93807
471,537,70-74,62692
472,537,75-79,29870
473,537,80+,42257
474,537,Age not stated,135852
475,538,All ages,4053028
476,538,0-4,355363
477,538,5-9,427116
478,538,10-14,447496
479,538,15-19,388794
480,538,20-24,372870
481,538,25-29,369235
482,538,30-34,304471
483,538,35-39,294408
484,538,40-44,231929
485,538,45-49,196717
486,538,50-54,157411
487,538,55-59,123586
488,538,60-64,143809
489,538,65-69,88534
490,538,70-74,65421
491,538,75-79,25730
492,538,80+,32939
493,538,Age not stated,27199
494,539,All ages,3488809
495,539,0-4,253267
496,539,5-9,300955
497,539,10-14,358772
498,539,15-19,354258
499,539,20-24,342001
500,539,25-29,323096
501,539,30-34,257516
502,539,35-39,257600
503,539,40-44,202868
504,539,45-49,179153
505,539,50-54,145510
506,539,55-59,118779
507,539,60-64,144482
508,539,65-69,97477
509,539,70-74,75096
510,539,75-79,30850
511,539,80+,39554
512,539,Age not stated,7575
513,540,All ages,3512576
514,540,0-4,228894
515,540,5-9,291218
516,540,10-14,373688
517,540,15-19,351103
518,540,20-24,330463
519,540,25-29,316588
520,540,30-34,266392
521,540,35-39,269991
522,540,40-44,218655
523,540,45-49,186414
524,540,50-54,146914
525,540,55-59,123468
526,540,60-64,145584
527,540,65-69,101671
528,540,70-74,74892
529,540,75-79,32468
530,540,80+,39875
531,540,Age not stated,14298
532,541,All ages,2797370
533,541,0-4,192680
534,541,5-9,233427
535,541,10-14,279445
536,541,15-19,275217
537,541,20-24,280062
538,541,25-29,269771
539,541,30-34,222253
540,541,35-39,222861
541,541,40-44,177616
542,541,45-49,151853
543,541,50-54,112516
544,541,55-59,91711
545,541,60-64,103524
546,541,65-69,70086
547,541,70-74,49613
548,541,75-79,21700
549,541,80+,28805
550,541,Age not stated,14230
551,542,All ages,2703114
552,542,0-4,191971
553,542,5-9,231417
554,542,10-14,260941
555,542,15-19,256804
556,542,20-24,248563
557,542,25-29,233423
558,542,30-34,206116
559,542,35-39,206329
560,542,40-44,180548
561,542,45-49,154392
562,542,50-54,124717
563,542,55-59,101124
564,542,60-64,120039
565,542,65-69,87859
566,542,70-74,55105
567,542,75-79,20667
568,542,80+,19225
569,542,Age not stated,3874
570,543,All ages,2344474
571,543,0-4,166441
572,543,5-9,196557
573,543,10-14,222262
574,543,15-19,214869
575,543,20-24,208095
576,543,25-29,198142
577,543,30-34,179423
578,543,35-39,184858
579,543,40-44,162409
580,543,45-49,139704
581,543,50-54,113383
582,543,55-59,93839
583,543,60-64,108052
584,543,65-69,69346
585,543,70-74,39112
586,543,75-79,14284
587,543,80+,13453
588,543,Age not stated,20245
589,544,All ages,4290589
590,544,0-4,312340
591,544,5-9,358943
592,544,10-14,402050
593,544,15-19,388888
594,544,20-24,407228
595,544,25-29,405104
596,544,30-34,348395
597,544,35-39,349583
598,544,40-44,295452
599,544,45-49,252197
600,544,50-54,191834
601,544,55-59,149251
602,544,60-64,158536
603,544,65-69,105375
604,544,70-74,60814
605,544,75-79,23791
606,544,80+,26465
607,544,Age not stated,54343
608,545,All ages,5154296
609,545,0-4,362098
610,545,5-9,417426
611,545,10-14,468065
612,545,15-19,487559
613,545,20-24,513641
614,545,25-29,475539
615,545,30-34,409556
616,545,35-39,410228
617,545,40-44,354158
618,545,45-49,305012
619,545,50-54,238779
620,545,55-59,186083
621,545,60-64,209706
622,545,65-69,143414
623,545,70-74,94342
624,545,75-79,37936
625,545,80+,37862
626,545,Age not stated,2892
627,546,All ages,3936966
628,546,0-4,264721
629,546,5-9,309069
630,546,10-14,355153
631,546,15-19,373437
632,546,20-24,391913
633,546,25-29,357220
634,546,30-34,306817
635,546,35-39,313792
636,546,40-44,270906
637,546,45-49,236249
638,546,50-54,181028
639,546,55-59,142708
640,546,60-64,163140
641,546,65-69,117801
642,546,70-74,81978
643,546,75-79,34495
644,546,80+,34383
645,546,Age not stated,2156
646,547,All ages,4517398
