,District Code,Age Group,Total Persons
3203,72,50-54,38587
3204,72,55-59,30979
3205,72,60-64,35085
3206,72,65-69,20417
3207,72,70-74,15188
3208,72,75-79,7943
3209,72,80+,12017
3210,72,Age not stated,1575
3211,73,All ages,1074304
3212,73,0-4,98357
3213,73,5-9,101663
3214,73,10-14,111341
3215,73,15-19,115813
3216,73,20-24,110863
3217,73,25-29,92157
3218,73,30-34,77660
3219,73,35-39,73047
3220,73,40-44,63723
3221,73,45-49,51383
3222,73,50-54,39517
3223,73,55-59,31623
3224,73,60-64,41019
3225,73,65-69,24637
3226,73,70-74,17967
3227,73,75-79,8830
3228,73,80+,12727
3229,73,Age not stated,1977
3230,74,All ages,1505324
3231,74,0-4,138362
3232,74,5-9,142439
3233,74,10-14,153060
3234,74,15-19,157663
3235,74,20-24,157928
3236,74,25-29,135520
3237,74,30-34,112201
3238,74,35-39,104746
3239,74,40-44,89197
3240,74,45-49,74265
3241,74,50-54,56516
3242,74,55-59,45187
3243,74,60-64,50922
3244,74,65-69,31039
3245,74,70-74,22436
3246,74,75-79,11551
3247,74,80+,17033
3248,74,Age not stated,5259
3249,75,All ages,1205437
3250,75,0-4,117908
3251,75,5-9,125014
3252,75,10-14,131451
3253,75,15-19,130630
3254,75,20-24,126101
3255,75,25-29,107971
3256,75,30-34,89134
3257,75,35-39,83196
3258,75,40-44,69586
3259,75,45-49,56848
3260,75,50-54,43473
3261,75,55-59,33363
3262,75,60-64,34671
3263,75,65-69,20708
3264,75,70-74,15253
3265,75,75-79,7827
3266,75,80+,11949
3267,75,Age not stated,354
3268,76,All ages,1450001
3269,76,0-4,131531
3270,76,5-9,139770
3271,76,10-14,149734
3272,76,15-19,155325
3273,76,20-24,150360
3274,76,25-29,128481
3275,76,30-34,105709
3276,76,35-39,98086
3277,76,40-44,85217
3278,76,45-49,71204
3279,76,50-54,58140
3280,76,55-59,45826
3281,76,60-64,48341
3282,76,65-69,28685
3283,76,70-74,22691
3284,76,75-79,11930
3285,76,80+,17705
3286,76,Age not stated,1266
3287,77,All ages,1334152
3288,77,0-4,117140
3289,77,5-9,128837
3290,77,10-14,143719
3291,77,15-19,148805
3292,77,20-24,134678
3293,77,25-29,110906
3294,77,30-34,95474
3295,77,35-39,92293
3296,77,40-44,81688
3297,77,45-49,66249
3298,77,50-54,50971
3299,77,55-59,39488
3300,77,60-64,47651
3301,77,65-69,28771
3302,77,70-74,21256
3303,77,75-79,11057
3304,77,80+,14284
3305,77,Age not stated,885
3306,78,All ages,942011
3307,78,0-4,84454
3308,78,5-9,90846
3309,78,10-14,101504
3310,78,15-19,104499
3311,78,20-24,94904
3312,78,25-29,79538
3313,78,30-34,68842
3314,78,35-39,64915
3315,78,40-44,56715
3316,78,45-49,46537
3317,78,50-54,34601
3318,78,55-59,26535
3319,78,60-64,34889
3320,78,65-69,20053
3321,78,70-74,14081
3322,78,75-79,7142
3323,78,80+,10168
3324,78,Age not stated,1788
3325,79,All ages,1295189
3326,79,0-4,109829
3327,79,5-9,118889
3328,79,10-14,135756
3329,79,15-19,141962
3330,79,20-24,132254
3331,79,25-29,111538
3332,79,30-34,96984
3333,79,35-39,90741
3334,79,40-44,79902
3335,79,45-49,66717
3336,79,50-54,50355
3337,79,55-59,37525
3338,79,60-64,46991
3339,79,65-69,27552
3340,79,70-74,20450
3341,79,75-79,10271
3342,79,80+,15041
3343,79,Age not stated,2432
3344,80,All ages,1743931
3345,80,0-4,149216
3346,80,5-9,164383
3347,80,10-14,183658
3348,80,15-19,190097
3349,80,20-24,177501
3350,80,25-29,152975
3351,80,30-34,131450
3352,80,35-39,125209
3353,80,40-44,110169
3354,80,45-49,89708
3355,80,50-54,68850
3356,80,55-59,50521
3357,80,60-64,58871
3358,80,65-69,32992
3359,80,70-74,24183
3360,80,75-79,12647
3361,80,80+,17045
3362,80,Age not stated,4456
3363,81,All ages,1634445
3364,81,0-4,146979
3365,81,5-9,159815
3366,81,10-14,174834
3367,81,15-19,176797
3368,81,20-24,163504
3369,81,25-29,143031
3370,81,30-34,121942
3371,81,35-39,110894
3372,81,40-44,94702
3373,81,45-49,78222
3374,81,50-54,62787
3375,81,55-59,48122
3376,81,60-64,59421
3377,81,65-69,33532
3378,81,70-74,25294
3379,81,75-79,13721
3380,81,80+,18551
3381,81,Age not stated,2297
3382,82,All ages,1061204
3383,82,0-4,89807
3384,82,5-9,97673
3385,82,10-14,105308
3386,82,15-19,112334
3387,82,20-24,107524
3388,82,25-29,93095
3389,82,30-34,77927
3390,82,35-39,72290
3391,82,40-44,64264
3392,82,45-49,54873
3393,82,50-54,46402
3394,82,55-59,36352
3395,82,60-64,38753
3396,82,65-69,22808
3397,82,70-74,18476
3398,82,75-79,9616
3399,82,80+,13278
3400,82,Age not stated,424
3401,83,All ages,958405
3402,83,0-4,83782
3403,83,5-9,88115
3404,83,10-14,95290
3405,83,15-19,99232
3406,83,20-24,97455
3407,83,25-29,86101
3408,83,30-34,72322
3409,83,35-39,67372
3410,83,40-44,57535
3411,83,45-49,47866
3412,83,50-54,38988
3413,83,55-59,30614
3414,83,60-64,34994
3415,83,65-69,20450
3416,83,70-74,15912
3417,83,75-79,8905
3418,83,80+,12493
3419,83,Age not stated,979
3420,84,All ages,922088
3421,84,0-4,77624
3422,84,5-9,84458
3423,84,10-14,98421
3424,84,15-19,100389
3425,84,20-24,91649
3426,84,25-29,77459
3427,84,30-34,66799
3428,84,35-39,62872
3429,84,40-44,54218
3430,84,45-49,45503
3431,84,50-54,36786
3432,84,55-59,29112
3433,84,60-64,34887
3434,84,65-69,21441
3435,84,70-74,16625
3436,84,75-79,9111
3437,84,80+,13296
3438,84,Age not stated,1438
3439,85,All ages,900332
3440,85,0-4,80084
3441,85,5-9,83035
3442,85,10-14,91291
3443,85,15-19,92184
3444,85,20-24,91183
3445,85,25-29,80970
3446,85,30-34,68949
3447,85,35-39,63093
3448,85,40-44,53572
3449,85,45-49,45090
3450,85,50-54,35854
3451,85,55-59,28375
3452,85,60-64,33678
3453,85,65-69,18907
3454,85,70-74,14022
3455,85,75-79,8072
3456,85,80+,11649
3457,85,Age not stated,324
3458,86,All ages,1514432
3459,86,0-4,142809
3460,86,5-9,143230
3461,86,10-14,140348
3462,86,15-19,136906
3463,86,20-24,153479
3464,86,25-29,158759
3465,86,30-34,142161
3466,86,35-39,123113
3467,86,40-44,92575
3468,86,45-49,70252
3469,86,50-54,54138
3470,86,55-59,42466
3471,86,60-64,42350
3472,86,65-69,27179
3473,86,70-74,19674
3474,86,75-79,10555
3475,86,80+,13945
3476,86,Age not stated,493
3477,87,All ages,1089263
3478,87,0-4,174987
3479,87,5-9,174052
3480,87,10-14,160185
3481,87,15-19,117902
3482,87,20-24,93889
3483,87,25-29,69915
3484,87,30-34,56654
3485,87,35-39,52633
3486,87,40-44,43918
3487,87,45-49,33711
3488,87,50-54,25528
3489,87,55-59,20272
3490,87,60-64,25498
3491,87,65-69,15802
3492,87,70-74,10899
3493,87,75-79,5365
3494,87,80+,7324
3495,87,Age not stated,729
3496,88,All ages,1809733
3497,88,0-4,174566
3498,88,5-9,188037
3499,88,10-14,193985
3500,88,15-19,185941
3501,88,20-24,183097
3502,88,25-29,169976
3503,88,30-34,146586
3504,88,35-39,136115
3505,88,40-44,108868
3506,88,45-49,89749
3507,88,50-54,67430
3508,88,55-59,50587
3509,88,60-64,45359
3510,88,65-69,27231
3511,88,70-74,18485
3512,88,75-79,9385
3513,88,80+,12552
3514,88,Age not stated,1784
3515,89,All ages,1042708
3516,89,0-4,124058
3517,89,5-9,128810
3518,89,10-14,133527
3519,89,15-19,118857
3520,89,20-24,100067
3521,89,25-29,78870
3522,89,30-34,65073
3523,89,35-39,62084
3524,89,40-44,53307
3525,89,45-49,43579
3526,89,50-54,32837
3527,89,55-59,25310
3528,89,60-64,27242
3529,89,65-69,18214
3530,89,70-74,13612
3531,89,75-79,7015
3532,89,80+,9683
3533,89,Age not stated,563
3534,23,All ages,519080
3535,23,0-4,49118
3536,23,5-9,53308
3537,23,10-14,56293
3538,23,15-19,52835
3539,23,20-24,51043
3540,23,25-29,43958
3541,23,30-34,38352
3542,23,35-39,34264
3543,23,40-44,31035
3544,23,45-49,26955
3545,23,50-54,22446
3546,23,55-59,17482
3547,23,60-64,14627
3548,23,65-69,10069
3549,23,70-74,7706
3550,23,75-79,4001
3551,23,80+,5235
3552,23,Age not stated,353
3553,24,All ages,1510075
3554,24,0-4,115877
3555,24,5-9,124213
3556,24,10-14,134434
3557,24,15-19,136480
3558,24,20-24,132145
3559,24,25-29,123432
3560,24,30-34,117860
3561,24,35-39,112860
3562,24,40-44,97313
3563,24,45-49,91139
3564,24,50-54,76764
3565,24,55-59,65241
3566,24,60-64,57462
3567,24,65-69,40778
3568,24,70-74,33352
3569,24,75-79,19459
3570,24,80+,26364
3571,24,Age not stated,4902
3572,25,All ages,31564
3573,25,0-4,2135
3574,25,5-9,2478
3575,25,10-14,2632
3576,25,15-19,2709
3577,25,20-24,2989
3578,25,25-29,2985
3579,25,30-34,2712
3580,25,35-39,2424
3581,25,40-44,2172
3582,25,45-49,1873
3583,25,50-54,1607
3584,25,55-59,1294
3585,25,60-64,1044
3586,25,65-69,669
3587,25,70-74,591
3588,25,75-79,434
3589,25,80+,561
3590,25,Age not stated,255
3591,26,All ages,437903
3592,26,0-4,35218
3593,26,5-9,38179
3594,26,10-14,42519
3595,26,15-19,43817
3596,26,20-24,45039
3597,26,25-29,39955
3598,26,30-34,35480
3599,26,35-39,32940
3600,26,40-44,27863
3601,26,45-49,24227
3602,26,50-54,19541
3603,26,55-59,15647
3604,26,60-64,12959
3605,26,65-69,8519
3606,26,70-74,6791
3607,26,75-79,3770
3608,26,80+,5055
3609,26,Age not stated,384
3610,27,All ages,999777
3611,27,0-4,78696
3612,27,5-9,85769
3613,27,10-14,93888
3614,27,15-19,92282
3615,27,20-24,89945
3616,27,25-29,83705
3617,27,30-34,81122
3618,27,35-39,76321
3619,27,40-44,64420
3620,27,45-49,57458
3621,27,50-54,49047
3622,27,55-59,39623
3623,27,60-64,34561
3624,27,65-69,23053
3625,27,70-74,19324
3626,27,75-79,11975
3627,27,80+,17078
3628,27,Age not stated,1510
3629,28,All ages,454768
3630,28,0-4,33948
3631,28,5-9,37263
3632,28,10-14,40162
3633,28,15-19,40886
3634,28,20-24,37659
3635,28,25-29,34126
3636,28,30-34,33924
3637,28,35-39,33708
3638,28,40-44,29400
3639,28,45-49,26909
3640,28,50-54,23523
3641,28,55-59,20388
3642,28,60-64,18868
3643,28,65-69,13706
3644,28,70-74,11884
3645,28,75-79,6911
3646,28,80+,11361
3647,28,Age not stated,142
3648,29,All ages,521173
3649,29,0-4,41390
3650,29,5-9,45249
3651,29,10-14,48681
3652,29,15-19,49373
3653,29,20-24,46311
3654,29,25-29,42219
3655,29,30-34,39542
3656,29,35-39,39029
3657,29,40-44,34050
3658,29,45-49,29730
3659,29,50-54,24701
3660,29,55-59,20474
3661,29,60-64,18885
3662,29,65-69,13334
3663,29,70-74,11293
3664,29,75-79,6691
3665,29,80+,9980
3666,29,Age not stated,241
3667,30,All ages,381956
3668,30,0-4,29767
3669,30,5-9,30515
3670,30,10-14,33496
3671,30,15-19,33328
3672,30,20-24,34729
3673,30,25-29,31836
3674,30,30-34,30641
3675,30,35-39,29118
3676,30,40-44,25102
3677,30,45-49,22506
3678,30,50-54,19339
3679,30,55-59,15672
3680,30,60-64,14090
3681,30,65-69,9421
3682,30,70-74,8306
3683,30,75-79,4950
3684,30,80+,8719
3685,30,Age not stated,421
3686,31,All ages,580320
3687,31,0-4,48306
3688,31,5-9,50342
3689,31,10-14,53078
3690,31,15-19,53921
3691,31,20-24,60096
3692,31,25-29,55790
3693,31,30-34,50117
3694,31,35-39,47564
3695,31,40-44,37808
3696,31,45-49,31679
3697,31,50-54,25032
3698,31,55-59,19490
3699,31,60-64,16196
3700,31,65-69,10545
3701,31,70-74,8212
3702,31,75-79,4714
3703,31,80+,6619
3704,31,Age not stated,811
3705,32,All ages,529855
3706,32,0-4,48960
3707,32,5-9,52094
3708,32,10-14,55407
3709,32,15-19,54407
3710,32,20-24,53262
3711,32,25-29,46114
3712,32,30-34,39844
3713,32,35-39,37579
3714,32,40-44,32247
3715,32,45-49,27169
3716,32,50-54,23075
3717,32,55-59,17411
3718,32,60-64,15313
3719,32,65-69,9848
3720,32,70-74,7974
3721,32,75-79,3951
3722,32,80+,4899
3723,32,Age not stated,301
3724,33,All ages,814010
3725,33,0-4,55901
3726,33,5-9,65363
3727,33,10-14,71938
3728,33,15-19,74252
3729,33,20-24,82123
3730,33,25-29,76144
3731,33,30-34,69102
3732,33,35-39,64912
3733,33,40-44,57809
3734,33,45-49,50133
3735,33,50-54,41667
3736,33,55-59,31200
3737,33,60-64,24820
3738,33,65-69,16936
3739,33,70-74,13670
3740,33,75-79,7825
3741,33,80+,9459
3742,33,Age not stated,756
3743,34,All ages,84121
3744,34,0-4,5668
3745,34,5-9,6404
3746,34,10-14,6696
3747,34,15-19,6171
3748,34,20-24,8525
3749,34,25-29,8896
3750,34,30-34,7661
3751,34,35-39,7247
3752,34,40-44,6341
3753,34,45-49,5350
3754,34,50-54,3945
3755,34,55-59,2938
3756,34,60-64,2547
3757,34,65-69,1729
3758,34,70-74,1484
3759,34,75-79,1025
3760,34,80+,1407
3761,34,Age not stated,87
3762,1,All ages,870354
3763,1,0-4,133246
3764,1,5-9,128253
3765,1,10-14,118673
3766,1,15-19,81849
3767,1,20-24,70692
3768,1,25-29,68046
3769,1,30-34,57150
3770,1,35-39,49033
3771,1,40-44,41741
3772,1,45-49,30511
3773,1,50-54,24144
3774,1,55-59,16163
3775,1,60-64,17607
3776,1,65-69,9871
3777,1,70-74,10217
3778,1,75-79,3932
3779,1,80+,7745
3780,1,Age not stated,1481
3781,2,All ages,753745
3782,2,0-4,107145
3783,2,5-9,106895
3784,2,10-14,94819
3785,2,15-19,75536
3786,2,20-24,64695
3787,2,25-29,54133
3788,2,30-34,46538
3789,2,35-39,44226
3790,2,40-44,38688
3791,2,45-49,31481
3792,2,50-54,24071
3793,2,55-59,17542
3794,2,60-64,17521
3795,2,65-69,10596
3796,2,70-74,9795
3797,2,75-79,3941
3798,2,80+,5512
3799,2,Age not stated,611
3800,3,All ages,133487
3801,3,0-4,8257
3802,3,5-9,9019
3803,3,10-14,10053
3804,3,15-19,10245
3805,3,20-24,14428
3806,3,25-29,18701
3807,3,30-34,14480
3808,3,35-39,11230
3809,3,40-44,9082
3810,3,45-49,6723
3811,3,50-54,5145
3812,3,55-59,4135
3813,3,60-64,3606
3814,3,65-69,2517
3815,3,70-74,2245
3816,3,75-79,1437
3817,3,80+,1934
3818,3,Age not stated,250
3819,4,All ages,140802
3820,4,0-4,13391
3821,4,5-9,14914
3822,4,10-14,14554
3823,4,15-19,13918
3824,4,20-24,15109
3825,4,25-29,15646
3826,4,30-34,11984
3827,4,35-39,9455
3828,4,40-44,7558
3829,4,45-49,6564
3830,4,50-54,4871
3831,4,55-59,3186
3832,4,60-64,3365
3833,4,65-69,2085
3834,4,70-74,1985
3835,4,75-79,900
3836,4,80+,1096
3837,4,Age not stated,221
3838,5,All ages,476835
3839,5,0-4,58998
3840,5,5-9,59273
3841,5,10-14,59990
3842,5,15-19,46812
3843,5,20-24,40067
3844,5,25-29,39839
3845,5,30-34,34237
3846,5,35-39,29260
3847,5,40-44,25675
3848,5,45-49,20646
3849,5,50-54,16817
3850,5,55-59,11088
3851,5,60-64,11631
3852,5,65-69,6523
3853,5,70-74,6797
3854,5,75-79,2792
3855,5,80+,5686
3856,5,Age not stated,704
3857,6,All ages,642415
3858,6,0-4,74716
3859,6,5-9,77271
3860,6,10-14,75860
3861,6,15-19,62417
3862,6,20-24,57680
3863,6,25-29,56959
3864,6,30-34,48683
3865,6,35-39,41004
3866,6,40-44,34551
3867,6,45-49,28927
3868,6,50-54,23057
3869,6,55-59,15006
3870,6,60-64,14634
3871,6,65-69,9391
3872,6,70-74,9438
3873,6,75-79,4043
3874,6,80+,7750
3875,6,Age not stated,1028
3876,7,All ages,616435
3877,7,0-4,57900
3878,7,5-9,63852
3879,7,10-14,66061
3880,7,15-19,60347
3881,7,20-24,57528
3882,7,25-29,52176
3883,7,30-34,47710
3884,7,35-39,43453
3885,7,40-44,36696
3886,7,45-49,32264
3887,7,50-54,25492
3888,7,55-59,19091
3889,7,60-64,17149
3890,7,65-69,11806
3891,7,70-74,10195
3892,7,75-79,5833
3893,7,80+,8118
3894,7,Age not stated,764
3895,8,All ages,1008039
3896,8,0-4,115293
3897,8,5-9,115240
3898,8,10-14,117753
3899,8,15-19,106269
3900,8,20-24,94755
3901,8,25-29,87214
3902,8,30-34,72014
3903,8,35-39,66603
3904,8,40-44,56380
3905,8,45-49,44662
3906,8,50-54,34223
3907,8,55-59,25077
3908,8,60-64,25169
3909,8,65-69,15682
3910,8,70-74,14600
3911,8,75-79,5949
3912,8,80+,9813
3913,8,Age not stated,1343
3914,9,All ages,392232
3915,9,0-4,42408
3916,9,5-9,46506
3917,9,10-14,49106
3918,9,15-19,44926
3919,9,20-24,37627
3920,9,25-29,31805
3921,9,30-34,26520
3922,9,35-39,25159
3923,9,40-44,21663
3924,9,45-49,17123
3925,9,50-54,12935
3926,9,55-59,9569
3927,9,60-64,9498
3928,9,65-69,5923
3929,9,70-74,5257
3930,9,75-79,2176
3931,9,80+,3444
3932,9,Age not stated,587
3933,10,All ages,1236829
3934,10,0-4,112881
3935,10,5-9,107816
3936,10,10-14,112683
3937,10,15-19,117071
3938,10,20-24,121447
3939,10,25-29,121340
3940,10,30-34,101850
3941,10,35-39,97966
3942,10,40-44,82159
3943,10,45-49,69586
3944,10,50-54,51762
3945,10,55-59,40659
3946,10,60-64,36110
3947,10,65-69,22967
3948,10,70-74,18635
3949,10,75-79,9160
3950,10,80+,11037
3951,10,Age not stated,1700
3952,11,All ages,297446
3953,11,0-4,34943
3954,11,5-9,37090
3955,11,10-14,36979
3956,11,15-19,32094
3957,11,20-24,27794
3958,11,25-29,25265
3959,11,30-34,20356
3960,11,35-39,18736
3961,11,40-44,15420
3962,11,45-49,12433
3963,11,50-54,9295
3964,11,55-59,6733
3965,11,60-64,6866
3966,11,65-69,4434
3967,11,70-74,4063
3968,11,75-79,1600
3969,11,80+,2920
3970,11,Age not stated,425
3971,12,All ages,560440
3972,12,0-4,72210
3973,12,5-9,55330
3974,12,10-14,55643
3975,12,15-19,55325
3976,12,20-24,54308
3977,12,25-29,49785
3978,12,30-34,41424
3979,12,35-39,36773
3980,12,40-44,33050
3981,12,45-49,25785
3982,12,50-54,21543
3983,12,55-59,15838
3984,12,60-64,15396
3985,12,65-69,9675
3986,12,70-74,8968
3987,12,75-79,3667
3988,12,80+,5024
3989,12,Age not stated,696
3990,13,All ages,266215
3991,13,0-4,29277
3992,13,5-9,29499
3993,13,10-14,31592
3994,13,15-19,31313
3995,13,20-24,26737
3996,13,25-29,21668
3997,13,30-34,18304
3998,13,35-39,16844
3999,13,40-44,14087
4000,13,45-49,11517
4001,13,50-54,9728
4002,13,55-59,6898
4003,13,60-64,6921
4004,13,65-69,3836
4005,13,70-74,3846
4006,13,75-79,1479
4007,13,80+,2450
4008,13,Age not stated,219
4009,14,All ages,1078692
4010,14,0-4,147604
4011,14,5-9,139277
4012,14,10-14,135721
4013,14,15-19,105248
4014,14,20-24,93874
4015,14,25-29,82421
4016,14,30-34,72628
4017,14,35-39,65284
4018,14,40-44,57521
4019,14,45-49,44555
4020,14,50-54,37307
4021,14,55-59,26657
4022,14,60-64,26033
4023,14,65-69,15151
4024,14,70-74,14982
4025,14,75-79,5689
4026,14,80+,7700
4027,14,Age not stated,1040
4028,15,All ages,424483
4029,15,0-4,51061
4030,15,5-9,46933
4031,15,10-14,49228
4032,15,15-19,44153
4033,15,20-24,41190
4034,15,25-29,34293
4035,15,30-34,30079
4036,15,35-39,27261
4037,15,40-44,24124
4038,15,45-49,18406
4039,15,50-54,15802
4040,15,55-59,11222
4041,15,60-64,11059
4042,15,65-69,6694
4043,15,70-74,6394
4044,15,75-79,2437
4045,15,80+,3645
4046,15,Age not stated,502
4047,16,All ages,409936
4048,16,0-4,49447
4049,16,5-9,50305
4050,16,10-14,50588
4051,16,15-19,40541
4052,16,20-24,38242
4053,16,25-29,34453
4054,16,30-34,30158
4055,16,35-39,25337
4056,16,40-44,20989
4057,16,45-49,16705
4058,16,50-54,13820
4059,16,55-59,9821
4060,16,60-64,10087
4061,16,65-69,7006
4062,16,70-74,5357
4063,16,75-79,2767
4064,16,80+,3886
4065,16,Age not stated,427
4066,17,All ages,283713
4067,17,0-4,38465
4068,17,5-9,37914
4069,17,10-14,36437
4070,17,15-19,28230
4071,17,20-24,25136
4072,17,25-29,22344
4073,17,30-34,19372
4074,17,35-39,17012
4075,17,40-44,14204
4076,17,45-49,11016
4077,17,50-54,9306
4078,17,55-59,6594
4079,17,60-64,6239
4080,17,65-69,3877
4081,17,70-74,3426
4082,17,75-79,1523
4083,17,80+,2255
4084,17,Age not stated,363
4085,18,All ages,230696
4086,18,0-4,27019
4087,18,5-9,28828
4088,18,10-14,28897
4089,18,15-19,22349
4090,18,20-24,19734
4091,18,25-29,19104
4092,18,30-34,16930
4093,18,35-39,14574
4094,18,40-44,11977
4095,18,45-49,9934
4096,18,50-54,7984
4097,18,55-59,5749
4098,18,60-64,5904
4099,18,65-69,4086
4100,18,70-74,3454
4101,18,75-79,1577
4102,18,80+,2330
4103,18,Age not stated,266
4104,19,All ages,554985
4105,19,0-4,58824
4106,19,5-9,61388
4107,19,10-14,61318
4108,19,15-19,53339
4109,19,20-24,53165
4110,19,25-29,51111
4111,19,30-34,44808
4112,19,35-39,38707
4113,19,40-44,31103
4114,19,45-49,26167
4115,19,50-54,20882
4116,19,55-59,15241
4117,19,60-64,13363
4118,19,65-69,8802
4119,19,70-74,7317
4120,19,75-79,3931
4121,19,80+,5221
4122,19,Age not stated,298
4123,20,All ages,314667
4124,20,0-4,38926
4125,20,5-9,39512
4126,20,10-14,39726
4127,20,15-19,29882
4128,20,20-24,29169
4129,20,25-29,26752
4130,20,30-34,22198
4131,20,35-39,19200
4132,20,40-44,15995
4133,20,45-49,13374
4134,20,50-54,10790
4135,20,55-59,7283
4136,20,60-64,7388
4137,20,65-69,4581
4138,20,70-74,4235
4139,20,75-79,2026
4140,20,80+,3440
4141,20,Age not stated,190
4142,21,All ages,1529958
4143,21,0-4,115818
4144,21,5-9,127711
4145,21,10-14,137646
4146,21,15-19,144526
4147,21,20-24,147093
4148,21,25-29,144033
4149,21,30-34,123830
4150,21,35-39,117189
4151,21,40-44,100693
4152,21,45-49,94183
4153,21,50-54,75462
4154,21,55-59,56314
4155,21,60-64,47870
4156,21,65-69,32276
4157,21,70-74,27307
4158,21,75-79,15152
4159,21,80+,21204
4160,21,Age not stated,1651
4161,22,All ages,318898
4162,22,0-4,27055
4163,22,5-9,29147
4164,22,10-14,30526
4165,22,15-19,31072
4166,22,20-24,30443
4167,22,25-29,29034
4168,22,30-34,25650
4169,22,35-39,23639
4170,22,40-44,20729
4171,22,45-49,18228
4172,22,50-54,14130
4173,22,55-59,10165
4174,22,60-64,9310
4175,22,65-69,6186
4176,22,70-74,5506
4177,22,75-79,3065
4178,22,80+,4660
4179,22,Age not stated,353
4180,555,All ages,4779661
4181,555,0-4,440713
4182,555,5-9,452189
4183,555,10-14,473479
4184,555,15-19,457740
4185,555,20-24,444897
4186,555,25-29,400330
4187,555,30-34,339726
4188,555,35-39,349524
4189,555,40-44,296371
4190,555,45-49,265495
4191,555,50-54,204901
4192,555,55-59,168284
4193,555,60-64,173174
4194,555,65-69,130759
4195,555,70-74,88197
4196,555,75-79,42113
4197,555,80+,49715
4198,555,Age not stated,2054
4199,556,All ages,1889752
4200,556,0-4,189153
4201,556,5-9,199696
4202,556,10-14,198739
4203,556,15-19,189079
4204,556,20-24,180276
4205,556,25-29,166500
4206,556,30-34,133200
4207,556,35-39,131572
4208,556,40-44,105287
4209,556,45-49,95647
4210,556,50-54,72023
4211,556,55-59,58861
4212,556,60-64,61514
4213,556,65-69,46849
4214,556,70-74,30544
4215,556,75-79,13798
4216,556,80+,16185
4217,556,Age not stated,829
4218,557,All ages,2177331
4219,557,0-4,222388
4220,557,5-9,233313
4221,557,10-14,236092
4222,557,15-19,218221
4223,557,20-24,203007
4224,557,25-29,182253
4225,557,30-34,145317
4226,557,35-39,148260
4227,557,40-44,123281
4228,557,45-49,110227
4229,557,50-54,86151
4230,557,55-59,69137
4231,557,60-64,72259
4232,557,65-69,50250
4233,557,70-74,37758
4234,557,75-79,17302
4235,557,80+,20692
4236,557,Age not stated,1423
4237,558,All ages,1703300
4238,558,0-4,155663
4239,558,5-9,173360
4240,558,10-14,194987
4241,558,15-19,191206
4242,558,20-24,165566
4243,558,25-29,137413
4244,558,30-34,111218
4245,558,35-39,112030
4246,558,40-44,94326
4247,558,45-49,79546
4248,558,50-54,62583
4249,558,55-59,50965
4250,558,60-64,59401
4251,558,65-69,47269
4252,558,70-74,32202
4253,558,75-79,14524
4254,558,80+,20327
4255,558,Age not stated,714
4256,559,All ages,1928812
4257,559,0-4,197750
4258,559,5-9,209559
4259,559,10-14,216585
4260,559,15-19,212033
4261,559,20-24,189067
4262,559,25-29,171676
4263,559,30-34,132593
4264,559,35-39,131761
4265,559,40-44,106028
4266,559,45-49,94791
4267,559,50-54,72358
4268,559,55-59,53956
4269,559,60-64,55077
4270,559,65-69,35610
4271,559,70-74,25525
4272,559,75-79,10196
4273,559,80+,13088
4274,559,Age not stated,1159
4275,560,All ages,1389920
4276,560,0-4,139957
4277,560,5-9,148664
4278,560,10-14,156128
4279,560,15-19,153733
4280,560,20-24,135314
4281,560,25-29,121634
4282,560,30-34,95099
4283,560,35-39,94925
4284,560,40-44,74707
4285,560,45-49,65662
4286,560,50-54,49164
4287,560,55-59,39807
4288,560,60-64,44273
4289,560,65-69,31411
4290,560,70-74,19612
4291,560,75-79,8479
4292,560,80+,10238
4293,560,Age not stated,1113
4294,561,All ages,1064570
4295,561,0-4,93977
4296,561,5-9,94275
4297,561,10-14,103829
4298,561,15-19,108759
4299,561,20-24,105623
4300,561,25-29,95115
4301,561,30-34,76009
4302,561,35-39,78385
4303,561,40-44,64464
4304,561,45-49,60211
4305,561,50-54,45060
4306,561,55-59,37305
4307,561,60-64,37821
4308,561,65-69,28229
4309,561,70-74,17581
4310,561,75-79,8652
4311,561,80+,8761
4312,561,Age not stated,514
4313,562,All ages,1847023
4314,562,0-4,156277
4315,562,5-9,158081
4316,562,10-14,174269
4317,562,15-19,177607
4318,562,20-24,183861
4319,562,25-29,167840
4320,562,30-34,139284
4321,562,35-39,141652
4322,562,40-44,116998
4323,562,45-49,107754
4324,562,50-54,82652
4325,562,55-59,66158
4326,562,60-64,62894
4327,562,65-69,47798
4328,562,70-74,30235
4329,562,75-79,16093
4330,562,80+,16747
4331,562,Age not stated,823
4332,563,All ages,1437169
4333,563,0-4,105800
4334,563,5-9,111831
4335,563,10-14,129579
4336,563,15-19,129525
4337,563,20-24,134794
4338,563,25-29,130752
4339,563,30-34,111651
4340,563,35-39,110155
4341,563,40-44,97525
4342,563,45-49,93318
4343,563,50-54,74743
4344,563,55-59,61153
4345,563,60-64,51061
4346,563,65-69,39455
4347,563,70-74,26188
4348,563,75-79,14605
4349,563,80+,14337
4350,563,Age not stated,697
4351,564,All ages,1597668
4352,564,0-4,136911
4353,564,5-9,142060
4354,564,10-14,158009
4355,564,15-19,164613
4356,564,20-24,160382
4357,564,25-29,142478
4358,564,30-34,115402
4359,564,35-39,117698
4360,564,40-44,99723
4361,564,45-49,93271
4362,564,50-54,69697
4363,564,55-59,55751
