,District Code,Occupation,Total Main Worker (Person)
121,55,Life Science and Health Professionals,4626
122,55,Teaching Professionals,7715
123,55,Other Professionals,17715
124,55,TECHNICIANS AND ASSOCIATE PROFESSIONALS,37838
125,55,Physical and Engineering Science Associate Professionals,4511
126,55,Life Science and Health Associate Professionals,4130
127,55,Teaching Associate Professionals,5921
128,55,Other Associate Professionals,23276
129,55,CLERKS,19414
130,55,Office Clerks,17344
131,55,Customer Services Clerks,2070
132,55,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,64528
133,55,Personal and Protective Service Workers,27527
134,55,"Models, Sales Persons and Demonstrators",37001
135,55,SKILLED AGRICULTURAL AND FISHERY WORKERS,4453
136,55,Market Oriented Skilled Agricultural and Fishery Workers,4453
137,55,CRAFT AND RELATED TRADES WORKERS,43348
138,55,Extraction and Building Trades Workers,22038
139,55,"Metal, Machinery and Related Trades Workers",10977
140,55,"Precision, Handicraft, Printing and Related Trades Workers",2083
141,55,Other Craft and Related Trades Workers,8250
142,55,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,25246
143,55,Stationary Plant and Related Operators,1724
144,55,Machine Operators and Assemblers,6479
145,55,Drivers and Mobile-Plant Operators,17043
146,55,ELEMENTARY OCCUPATIONS,83119
147,55,Sales and Services Elementary Occupations,38017
148,55,"Agricultural, Fishery and Related Labourers",101
149,55,"Labourers in Mining, Construction, Manufacturing and Transport",45001
150,55,WORKERS NOT CLASSIFIED BY OCCUPATIONS,29917
151,55,Workers Not Reporting Any Occupations,29917
152,245,TOTAL,18214
153,245,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",368
154,245,Legislators and Senior Officials,100
155,245,Corporate Managers,266
156,245,General Managers,2
157,245,PROFESSIONALS,722
158,245,"Physical, Mathematical and Engineering Science Professionals",31
159,245,Life Science and Health Professionals,50
160,245,Teaching Professionals,92
161,245,Other Professionals,549
162,245,TECHNICIANS AND ASSOCIATE PROFESSIONALS,740
163,245,Physical and Engineering Science Associate Professionals,78
164,245,Life Science and Health Associate Professionals,147
165,245,Teaching Associate Professionals,395
166,245,Other Associate Professionals,120
167,245,CLERKS,391
168,245,Office Clerks,364
169,245,Customer Services Clerks,27
170,245,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,1213
171,245,Personal and Protective Service Workers,685
172,245,"Models, Sales Persons and Demonstrators",528
173,245,SKILLED AGRICULTURAL AND FISHERY WORKERS,383
174,245,Market Oriented Skilled Agricultural and Fishery Workers,383
175,245,CRAFT AND RELATED TRADES WORKERS,857
176,245,Extraction and Building Trades Workers,629
177,245,"Metal, Machinery and Related Trades Workers",128
178,245,"Precision, Handicraft, Printing and Related Trades Workers",10
179,245,Other Craft and Related Trades Workers,90
180,245,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,560
181,245,Stationary Plant and Related Operators,22
182,245,Machine Operators and Assemblers,37
183,245,Drivers and Mobile-Plant Operators,501
184,245,ELEMENTARY OCCUPATIONS,6475
185,245,Sales and Services Elementary Occupations,232
186,245,"Agricultural, Fishery and Related Labourers",4
187,245,"Labourers in Mining, Construction, Manufacturing and Transport",6239
188,245,WORKERS NOT CLASSIFIED BY OCCUPATIONS,6505
189,245,Workers Not Reporting Any Occupations,6505
190,246,TOTAL,22395
191,246,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",559
192,246,Legislators and Senior Officials,160
193,246,Corporate Managers,396
194,246,General Managers,3
195,246,PROFESSIONALS,946
196,246,"Physical, Mathematical and Engineering Science Professionals",97
197,246,Life Science and Health Professionals,102
198,246,Teaching Professionals,235
199,246,Other Professionals,512
200,246,TECHNICIANS AND ASSOCIATE PROFESSIONALS,1590
201,246,Physical and Engineering Science Associate Professionals,176
202,246,Life Science and Health Associate Professionals,314
203,246,Teaching Associate Professionals,764
204,246,Other Associate Professionals,336
205,246,CLERKS,672
206,246,Office Clerks,628
207,246,Customer Services Clerks,44
208,246,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,2389
209,246,Personal and Protective Service Workers,1175
210,246,"Models, Sales Persons and Demonstrators",1214
211,246,SKILLED AGRICULTURAL AND FISHERY WORKERS,715
212,246,Market Oriented Skilled Agricultural and Fishery Workers,715
213,246,CRAFT AND RELATED TRADES WORKERS,1364
214,246,Extraction and Building Trades Workers,908
215,246,"Metal, Machinery and Related Trades Workers",262
216,246,"Precision, Handicraft, Printing and Related Trades Workers",32
217,246,Other Craft and Related Trades Workers,162
218,246,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,1482
219,246,Stationary Plant and Related Operators,84
220,246,Machine Operators and Assemblers,30
221,246,Drivers and Mobile-Plant Operators,1368
222,246,ELEMENTARY OCCUPATIONS,4772
223,246,Sales and Services Elementary Occupations,564
224,246,"Agricultural, Fishery and Related Labourers",34
225,246,"Labourers in Mining, Construction, Manufacturing and Transport",4174
226,246,WORKERS NOT CLASSIFIED BY OCCUPATIONS,7906
227,246,Workers Not Reporting Any Occupations,7906
228,247,TOTAL,7257
229,247,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",401
230,247,Legislators and Senior Officials,148
231,247,Corporate Managers,253
232,247,PROFESSIONALS,470
233,247,"Physical, Mathematical and Engineering Science Professionals",33
234,247,Life Science and Health Professionals,57
235,247,Teaching Professionals,131
236,247,Other Professionals,249
237,247,TECHNICIANS AND ASSOCIATE PROFESSIONALS,1142
238,247,Physical and Engineering Science Associate Professionals,117
239,247,Life Science and Health Associate Professionals,175
240,247,Teaching Associate Professionals,686
241,247,Other Associate Professionals,164
242,247,CLERKS,412
243,247,Office Clerks,401
244,247,Customer Services Clerks,11
245,247,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,1307
246,247,Personal and Protective Service Workers,660
247,247,"Models, Sales Persons and Demonstrators",647
248,247,SKILLED AGRICULTURAL AND FISHERY WORKERS,354
249,247,Market Oriented Skilled Agricultural and Fishery Workers,354
250,247,CRAFT AND RELATED TRADES WORKERS,364
251,247,Extraction and Building Trades Workers,242
252,247,"Metal, Machinery and Related Trades Workers",73
253,247,"Precision, Handicraft, Printing and Related Trades Workers",7
254,247,Other Craft and Related Trades Workers,42
255,247,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,312
256,247,Stationary Plant and Related Operators,33
257,247,Machine Operators and Assemblers,16
258,247,Drivers and Mobile-Plant Operators,263
259,247,ELEMENTARY OCCUPATIONS,970
260,247,Sales and Services Elementary Occupations,278
261,247,"Agricultural, Fishery and Related Labourers",9
262,247,"Labourers in Mining, Construction, Manufacturing and Transport",683
263,247,WORKERS NOT CLASSIFIED BY OCCUPATIONS,1525
264,247,Workers Not Reporting Any Occupations,1525
265,248,TOTAL,39058
266,248,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",2012
267,248,Legislators and Senior Officials,841
268,248,Corporate Managers,1166
269,248,General Managers,5
270,248,PROFESSIONALS,3412
271,248,"Physical, Mathematical and Engineering Science Professionals",440
272,248,Life Science and Health Professionals,464
273,248,Teaching Professionals,747
274,248,Other Professionals,1761
275,248,TECHNICIANS AND ASSOCIATE PROFESSIONALS,5109
276,248,Physical and Engineering Science Associate Professionals,724
277,248,Life Science and Health Associate Professionals,847
278,248,Teaching Associate Professionals,2163
279,248,Other Associate Professionals,1375
280,248,CLERKS,2976
281,248,Office Clerks,2823
282,248,Customer Services Clerks,153
283,248,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,7338
284,248,Personal and Protective Service Workers,4810
285,248,"Models, Sales Persons and Demonstrators",2528
286,248,SKILLED AGRICULTURAL AND FISHERY WORKERS,1066
287,248,Market Oriented Skilled Agricultural and Fishery Workers,1066
288,248,CRAFT AND RELATED TRADES WORKERS,2509
289,248,Extraction and Building Trades Workers,1484
290,248,"Metal, Machinery and Related Trades Workers",685
291,248,"Precision, Handicraft, Printing and Related Trades Workers",149
292,248,Other Craft and Related Trades Workers,191
293,248,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,2341
294,248,Stationary Plant and Related Operators,69
295,248,Machine Operators and Assemblers,176
296,248,Drivers and Mobile-Plant Operators,2096
297,248,ELEMENTARY OCCUPATIONS,3683
298,248,Sales and Services Elementary Occupations,1538
299,248,"Agricultural, Fishery and Related Labourers",102
300,248,"Labourers in Mining, Construction, Manufacturing and Transport",2043
301,248,WORKERS NOT CLASSIFIED BY OCCUPATIONS,8612
302,248,Workers Not Reporting Any Occupations,8612
303,249,TOTAL,7340
304,249,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",382
305,249,Legislators and Senior Officials,215
306,249,Corporate Managers,166
307,249,General Managers,1
308,249,PROFESSIONALS,466
309,249,"Physical, Mathematical and Engineering Science Professionals",54
310,249,Life Science and Health Professionals,155
311,249,Teaching Professionals,86
312,249,Other Professionals,171
313,249,TECHNICIANS AND ASSOCIATE PROFESSIONALS,1178
314,249,Physical and Engineering Science Associate Professionals,111
315,249,Life Science and Health Associate Professionals,236
316,249,Teaching Associate Professionals,640
317,249,Other Associate Professionals,191
318,249,CLERKS,385
319,249,Office Clerks,366
320,249,Customer Services Clerks,19
321,249,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,1167
322,249,Personal and Protective Service Workers,679
323,249,"Models, Sales Persons and Demonstrators",488
324,249,SKILLED AGRICULTURAL AND FISHERY WORKERS,450
325,249,Market Oriented Skilled Agricultural and Fishery Workers,450
326,249,CRAFT AND RELATED TRADES WORKERS,325
327,249,Extraction and Building Trades Workers,179
328,249,"Metal, Machinery and Related Trades Workers",85
329,249,"Precision, Handicraft, Printing and Related Trades Workers",12
330,249,Other Craft and Related Trades Workers,49
331,249,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,260
332,249,Stationary Plant and Related Operators,21
333,249,Machine Operators and Assemblers,17
334,249,Drivers and Mobile-Plant Operators,222
335,249,ELEMENTARY OCCUPATIONS,1076
336,249,Sales and Services Elementary Occupations,205
337,249,"Agricultural, Fishery and Related Labourers",12
338,249,"Labourers in Mining, Construction, Manufacturing and Transport",859
339,249,WORKERS NOT CLASSIFIED BY OCCUPATIONS,1651
340,249,Workers Not Reporting Any Occupations,1651
341,250,TOTAL,16287
342,250,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",758
343,250,Legislators and Senior Officials,286
344,250,Corporate Managers,472
345,250,PROFESSIONALS,1033
346,250,"Physical, Mathematical and Engineering Science Professionals",126
347,250,Life Science and Health Professionals,270
348,250,Teaching Professionals,305
349,250,Other Professionals,332
350,250,TECHNICIANS AND ASSOCIATE PROFESSIONALS,2186
351,250,Physical and Engineering Science Associate Professionals,229
352,250,Life Science and Health Associate Professionals,407
353,250,Teaching Associate Professionals,1221
354,250,Other Associate Professionals,329
355,250,CLERKS,794
356,250,Office Clerks,745
357,250,Customer Services Clerks,49
358,250,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,2582
359,250,Personal and Protective Service Workers,1489
360,250,"Models, Sales Persons and Demonstrators",1093
361,250,SKILLED AGRICULTURAL AND FISHERY WORKERS,290
362,250,Market Oriented Skilled Agricultural and Fishery Workers,290
363,250,CRAFT AND RELATED TRADES WORKERS,1093
364,250,Extraction and Building Trades Workers,606
365,250,"Metal, Machinery and Related Trades Workers",278
366,250,"Precision, Handicraft, Printing and Related Trades Workers",66
367,250,Other Craft and Related Trades Workers,143
368,250,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,704
369,250,Stationary Plant and Related Operators,63
370,250,Machine Operators and Assemblers,81
371,250,Drivers and Mobile-Plant Operators,560
372,250,ELEMENTARY OCCUPATIONS,2055
373,250,Sales and Services Elementary Occupations,398
374,250,"Agricultural, Fishery and Related Labourers",12
375,250,"Labourers in Mining, Construction, Manufacturing and Transport",1645
376,250,WORKERS NOT CLASSIFIED BY OCCUPATIONS,4792
377,250,Workers Not Reporting Any Occupations,4792
378,251,TOTAL,13608
379,251,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",714
