,State Code,Age Group,Total Persons
693,12,40-44,78603
694,12,45-49,63679
695,12,50-54,46110
696,12,55-59,29886
697,12,60-64,25445
698,12,65-69,14973
699,12,70-74,10647
700,12,75-79,5135
701,12,80+,7439
702,12,Age not stated,1509
703,28,All ages,84580777
704,28,0-4,6284765
705,28,5-9,7304432
706,28,10-14,8201595
707,28,15-19,8093747
708,28,20-24,8132094
709,28,25-29,7799036
710,28,30-34,6584371
711,28,35-39,6507339
712,28,40-44,5399473
713,28,45-49,4657269
714,28,50-54,3657386
715,28,55-59,2909598
716,28,60-64,3199837
717,28,65-69,2167854
718,28,70-74,1519358
719,28,75-79,636989
720,28,80+,754203
721,28,Age not stated,771431
722,18,All ages,31205576
723,18,0-4,3212833
724,18,5-9,3544339
725,18,10-14,3491727
726,18,15-19,3068581
727,18,20-24,2909405
728,18,25-29,2815147
729,18,30-34,2330060
730,18,35-39,2260473
731,18,40-44,1831206
732,18,45-49,1595249
733,18,50-54,1192363
734,18,55-59,856825
735,18,60-64,775698
736,18,65-69,503642
737,18,70-74,385277
738,18,75-79,184352
739,18,80+,229575
740,18,Age not stated,18824
741,10,All ages,104099452
742,10,0-4,12765029
743,10,5-9,15036277
744,10,10-14,13919882
745,10,15-19,9472695
746,10,20-24,8064735
747,10,25-29,7671705
748,10,30-34,7055737
749,10,35-39,6457261
750,10,40-44,5165692
751,10,45-49,4270374
752,10,50-54,3312740
753,10,55-59,2796678
754,10,60-64,3008008
755,10,65-69,2089779
756,10,70-74,1379531
757,10,75-79,550479
758,10,80+,679348
759,10,Age not stated,403502
760,22,All ages,25545198
761,22,0-4,2541065
762,22,5-9,2758758
763,22,10-14,2884013
764,22,15-19,2599842
765,22,20-24,2389497
766,22,25-29,2057300
767,22,30-34,1815058
768,22,35-39,1779414
769,22,40-44,1576553
770,22,45-49,1334374
771,22,50-54,992947
772,22,55-59,789353
773,22,60-64,743742
774,22,65-69,533810
775,22,70-74,373000
776,22,75-79,166578
777,22,80+,186779
778,22,Age not stated,23115
779,25,All ages,243247
780,25,0-4,19158
781,25,5-9,18506
782,25,10-14,17321
783,25,15-19,26314
784,25,20-24,38584
785,25,25-29,33181
786,25,30-34,24031
787,25,35-39,19550
788,25,40-44,13601
789,25,45-49,9618
790,25,50-54,6610
791,25,55-59,5056
792,25,60-64,4308
793,25,65-69,2753
794,25,70-74,2103
795,25,75-79,1067
796,25,80+,1130
797,25,Age not stated,356
798,26,All ages,343709
799,26,0-4,36561
800,26,5-9,36249
801,26,10-14,35003
802,26,15-19,33104
803,26,20-24,44301
804,26,25-29,39885
805,26,30-34,30641
806,26,35-39,25277
807,26,40-44,18181
808,26,45-49,13789
809,26,50-54,9503
810,26,55-59,6951
811,26,60-64,5831
812,26,65-69,3716
813,26,70-74,2309
814,26,75-79,958
815,26,80+,1078
816,26,Age not stated,372
817,30,All ages,1458545
818,30,0-4,101203
819,30,5-9,105968
820,30,10-14,110989
821,30,15-19,113875
822,30,20-24,130745
823,30,25-29,132626
824,30,30-34,125859
825,30,35-39,126298
826,30,40-44,108512
827,30,45-49,94736
828,30,50-54,76592
829,30,55-59,65553
830,30,60-64,61104
831,30,65-69,41019
832,30,70-74,29055
833,30,75-79,16536
834,30,80+,15781
835,30,Age not stated,2094
836,7,All ages,16787941
837,7,0-4,1381200
838,7,5-9,1535972
839,7,10-14,1648147
840,7,15-19,1667375
841,7,20-24,1764060
842,7,25-29,1668326
843,7,30-34,1434699
844,7,35-39,1319244
845,7,40-44,1097197
846,7,45-49,911213
847,7,50-54,687469
848,7,55-59,508892
849,7,60-64,472019
850,7,65-69,272452
851,7,70-74,189250
852,7,75-79,100693
853,7,80+,113031
854,7,Age not stated,16702
855,24,All ages,60439692
856,24,0-4,5460332
857,24,5-9,5835836
858,24,10-14,6149445
859,24,15-19,5865760
860,24,20-24,5780722
861,24,25-29,5278822
862,24,30-34,4770528
863,24,35-39,4341225
864,24,40-44,3865476
865,24,45-49,3314013
866,24,50-54,2697183
867,24,55-59,2054947
868,24,60-64,1727752
869,24,65-69,1170072
870,24,70-74,899677
871,24,75-79,439996
872,24,80+,549062
873,24,Age not stated,238844
874,6,All ages,25351462
875,6,0-4,2362519
876,6,5-9,2498757
877,6,10-14,2668678
878,6,15-19,2677390
879,6,20-24,2567486
880,6,25-29,2231959
881,6,30-34,1893591
882,6,35-39,1761863
883,6,40-44,1505950
884,6,45-49,1241814
885,6,50-54,965228
886,6,55-59,750938
887,6,60-64,844349
888,6,65-69,504439
889,6,70-74,374161
890,6,75-79,196217
891,6,80+,274589
892,6,Age not stated,31534
893,2,All ages,6864602
894,2,0-4,544984
895,2,5-9,591177
896,2,10-14,639224
