,State Code,Age Group,Total Persons
1161,11,5-9,56678
1162,11,10-14,66923
1163,11,15-19,66937
1164,11,20-24,67297
1165,11,25-29,64639
1166,11,30-34,52225
1167,11,35-39,43627
1168,11,40-44,36552
1169,11,45-49,29462
1170,11,50-54,24432
1171,11,55-59,17541
1172,11,60-64,13550
1173,11,65-69,10483
1174,11,70-74,7561
1175,11,75-79,4516
1176,11,80+,4642
1177,11,Age not stated,1176
1178,3,All ages,27743338
1179,3,0-4,2133529
1180,3,5-9,2368019
1181,3,10-14,2583402
1182,3,15-19,2817683
1183,3,20-24,2776636
1184,3,25-29,2463861
1185,3,30-34,2116539
1186,3,35-39,1989071
1187,3,40-44,1788469
1188,3,45-49,1587771
1189,3,50-54,1254464
1190,3,55-59,956555
1191,3,60-64,996590
1192,3,65-69,719588
1193,3,70-74,513472
1194,3,75-79,256666
1195,3,80+,379501
1196,3,Age not stated,41522
1197,16,All ages,3673917
1198,16,0-4,322566
1199,16,5-9,337735
1200,16,10-14,357690
1201,16,15-19,357829
1202,16,20-24,373177
1203,16,25-29,344149
1204,16,30-34,286989
1205,16,35-39,279342
1206,16,40-44,238751
1207,16,45-49,205469
1208,16,50-54,162186
1209,16,55-59,116874
1210,16,60-64,97129
1211,16,65-69,70480
1212,16,70-74,52324
1213,16,75-79,30086
1214,16,80+,39525
1215,16,Age not stated,1616
1216,8,All ages,68548437
1217,8,0-4,7302170
1218,8,5-9,8042738
1219,8,10-14,8380518
1220,8,15-19,7314017
1221,8,20-24,6426494
1222,8,25-29,5348497
1223,8,30-34,4722683
1224,8,35-39,4334564
1225,8,40-44,3735355
1226,8,45-49,3145404
1227,8,50-54,2516808
1228,8,55-59,1897449
1229,8,60-64,1770139
1230,8,65-69,1260376
1231,8,70-74,1016915
1232,8,75-79,477655
1233,8,80+,587053
1234,8,Age not stated,269602
1235,33,All ages,72147030
1236,33,0-4,5278701
1237,33,5-9,5551255
1238,33,10-14,6177547
1239,33,15-19,6253792
1240,33,20-24,6411543
1241,33,25-29,6663746
1242,33,30-34,5815560
1243,33,35-39,5836456
1244,33,40-44,5064209
1245,33,45-49,4713056
1246,33,50-54,3703460
1247,33,55-59,3101142
1248,33,60-64,2782608
1249,33,65-69,1868370
1250,33,70-74,1406529
1251,33,75-79,710241
1252,33,80+,742010
1253,33,Age not stated,66805
1254,5,All ages,10086292
1255,5,0-4,924864
1256,5,5-9,1058801
1257,5,10-14,1145343
1258,5,15-19,1124110
1259,5,20-24,970068
1260,5,25-29,810184
1261,5,30-34,698300
1262,5,35-39,665500
1263,5,40-44,566709
1264,5,45-49,489377
1265,5,50-54,397158
1266,5,55-59,318461
1267,5,60-64,329056
1268,5,65-69,218759
1269,5,70-74,163443
1270,5,75-79,84646
1271,5,80+,104905
1272,5,Age not stated,16608
1273,4,All ages,1055450
1274,4,0-4,81854
1275,4,5-9,91194
1276,4,10-14,93464
1277,4,15-19,104418
1278,4,20-24,121244
1279,4,25-29,110237
1280,4,30-34,90803
1281,4,35-39,83672
1282,4,40-44,68921
1283,4,45-49,60352
1284,4,50-54,46942
1285,4,55-59,34925
1286,4,60-64,25801
1287,4,65-69,15839
1288,4,70-74,11385
1289,4,75-79,6422
1290,4,80+,7631
1291,4,Age not stated,346
1292,9,All ages,199812341
1293,9,0-4,20376668
1294,9,5-9,25061717
1295,9,10-14,25869881
1296,9,15-19,23040380
1297,9,20-24,17578648
1298,9,25-29,14579829
1299,9,30-34,12954682
1300,9,35-39,12556222
1301,9,40-44,10231402
1302,9,45-49,8449777
1303,9,50-54,6587023
1304,9,55-59,5464146
1305,9,60-64,5705191
1306,9,65-69,3839969
1307,9,70-74,2832368
1308,9,75-79,1249892
1309,9,80+,1812484
1310,9,Age not stated,1622062
1311,19,All ages,91276115
1312,19,0-4,7333143
1313,19,5-9,8247809
1314,19,10-14,9156523
1315,19,15-19,9058031
1316,19,20-24,8758322
1317,19,25-29,7997909
1318,19,30-34,6841590
1319,19,35-39,7012646
1320,19,40-44,6153060
1321,19,45-49,5335719
1322,19,50-54,4257880
1323,19,55-59,3268650
1324,19,60-64,2745454
1325,19,65-69,1982993
1326,19,70-74,1390607
1327,19,75-79,739767
1328,19,80+,883561
1329,19,Age not stated,112451
