,State Code,District Code,Name,Population (Person),Area,Population Density
1686,8,0,RAJASTHAN,68548437,342239.0,200.0
1689,8,99,Ganganagar ,1969168,10978.0,179.0
1719,8,100,Hanumangarh,1774692,9656.0,184.0
1743,8,101,Bikaner,2363937,30239.0,78.0
1770,8,102,Churu,2039547,13835.0,147.0
1791,8,103,Jhunjhunun,2137045,5928.0,361.0
1812,8,104,Alwar,3674179,8380.0,438.0
1851,8,105,Bharatpur,2548462,5066.0,503.0
1884,8,106,Dhaulpur,1206516,3033.0,398.0
1902,8,107,Karauli,1458248,5524.0,264.0
1923,8,108,Sawai Madhopur,1335551,4498.0,297.0
1947,8,109,Dausa,1634409,3432.0,476.0
1965,8,110,Jaipur,6626178,11143.0,595.0
2007,8,111,Sikar,2677333,7732.0,346.0
2028,8,112,Nagaur,3307743,17718.0,187.0
2061,8,113,Jodhpur,3687165,22850.0,161.0
2085,8,114,Jaisalmer,669919,38401.0,17.0
2097,8,115,Barmer,2603751,28387.0,92.0
2124,8,116,Jalor,1828730,10640.0,172.0
2148,8,117,Sirohi,1036346,5136.0,202.0
2166,8,118,Pali,2037573,12387.0,164.0
2196,8,119,Ajmer,2583052,8481.0,305.0
2226,8,120,Tonk,1421326,7194.0,198.0
2250,8,121,Bundi,1110906,5776.0,192.0
2268,8,122,Bhilwara,2408523,10455.0,230.0
2307,8,123,Rajsamand,1156597,4655.0,248.0
2331,8,124,Dungarpur,1388552,3770.0,368.0
2346,8,125,Banswara,1797485,4522.0,397.0
2364,8,126,Chittaurgarh,1544338,7821.999999999999,197.0
2397,8,127,Kota,1951014,5217.0,374.0
2415,8,128,Baran,1222755,6992.0,175.0
2442,8,129,Jhalawar,1411129,6219.0,227.0
2466,8,130,Udaipur,3068420,11724.0,262.0
2502,8,131,Pratapgarh,867848,4449.0,195.0
2520,9,0,UTTAR PRADESH,199812341,240928.0,829.0
2523,9,132,Saharanpur,3466382,3689.0,940.0
2541,9,133,Muzaffarnagar,4143512,4008.0,1034.0
2562,9,134,Bijnor,3682713,4561.0,807.0
2580,9,135,Moradabad,4772006,3718.0,1283.0
2601,9,136,Rampur,2335819,2367.0,987.0
2622,9,137,Jyotiba Phule Nagar,1840221,2249.0,818.0
2634,9,138,Meerut,3443689,2559.0,1346.0
2646,9,139,Baghpat,1303048,1321.0,986.0
2658,9,140,Ghaziabad,4681645,1179.0,3971.0
2673,9,141,Gautam Buddha Nagar,1648115,1282.0,1286.0
2685,9,142,Bulandshahr ,3499171,4512.0,776.0
2709,9,143,Aligarh,3673889,3650.0,1007.0
2727,9,144,Mahamaya Nagar,1564708,1840.0,850.0
2742,9,145,Mathura,2547184,3340.0,763.0
2757,9,146,Agra,4418797,4041.0,1093.0
2778,9,147,Firozabad,2498156,2407.0,1038.0
2793,9,148,Mainpuri,1868529,2760.0,677.0
2805,9,149,Budaun,3681896,5168.0,712.0
2826,9,150,Bareilly,4448359,4120.0,1080.0
2847,9,151,Pilibhit,2031007,3686.0,551.0
2859,9,152,Shahjahanpur,3006538,4388.0,685.0
2874,9,153,Kheri,4021243,7680.0,524.0
2895,9,154,Sitapur,4483992,5743.0,781.0
2916,9,155,Hardoi,4092845,5986.0,684.0
2934,9,156,Unnao,3108367,4558.0,682.0
2952,9,157,Lucknow,4589838,2528.0,1816.0
2967,9,158,Rae Bareli,3405559,4609.0,739.0
2991,9,159,Farrukhabad,1885204,2181.0,864.0
3003,9,160,Kannauj,1656616,2093.0,792.0
3015,9,161,Etawah,1581810,2311.0,684.0
3033,9,162,Auraiya,1379545,2016.0,684.0
3042,9,163,Kanpur Dehat,1796184,3021.0,595.0
3060,9,164,Kanpur Nagar,4581268,3155.0,1452.0
3072,9,165,Jalaun ,1689974,4565.0,370.0
3090,9,166,Jhansi,1998603,5024.0,398.0
3108,9,167,Lalitpur,1221592,5039.0,242.0
3120,9,168,Hamirpur,1104285,4021.0,275.0
3135,9,169,Mahoba,875958,3144.0,279.0
3147,9,170,Banda,1799410,4408.0,408.0
3162,9,171,Chitrakoot,991730,3216.0,308.0
3171,9,172,Fatehpur,2632733,4152.0,634.0
3183,9,173,Pratapgarh,3209141,3717.0,863.0
3201,9,174,Kaushambi,1599596,1779.0,899.0
3213,9,175,Allahabad ,5954391,5482.0,1086.0
3240,9,176,Bara Banki,3260699,4402.0,741.0
3261,9,177,Faizabad,2470996,2341.0,1056.0
3279,9,178,Ambedkar Nagar,2397888,2350.0,1020.0
3297,9,179,Sultanpur,3797117,4436.0,856.0
3321,9,180,Bahraich,3487731,5237.0,666.0
3336,9,181,Shrawasti,1117361,1640.0,681.0
3345,9,182,Balrampur,2148665,3349.0,642.0
3357,9,183,Gonda,3433919,4003.0,858.0
3372,9,184,Siddharthnagar,2559297,2895.0,884.0
3390,9,185,Basti,2464464,2688.0,917.0
3405,9,186,Sant Kabir Nagar,1715183,1646.0,1042.0
3417,9,187,Mahrajganj,2684703,2952.0,909.0
3432,9,188,Gorakhpur,4440895,3321.0,1337.0
3456,9,189,Kushinagar,3564544,2905.0,1227.0
3471,9,190,Deoria,3100946,2540.0,1221.0
3489,9,191,Azamgarh,4613913,4054.0,1138.0
3513,9,192,Mau,2205968,1713.0,1288.0
3528,9,193,Ballia,3239774,2981.0,1087.0
3549,9,194,Jaunpur,4494204,4038.0,1113.0
3570,9,195,Ghazipur,3620268,3377.0,1072.0
3588,9,196,Chandauli,1952756,2541.0,768.0
3600,9,197,Varanasi,3676841,1535.0,2395.0
3609,9,198,Sant Ravidas Nagar (Bhadohi),1578213,1015.0,1555.0
3621,9,199,Mirzapur,2496970,4405.0,567.0
3636,9,200,Sonbhadra,1862559,6905.0,270.0
3648,9,201,Etah,1774480,2431.0,730.0
3660,9,202,Kanshiram Nagar,1436719,1955.0,735.0
3672,10,0,BIHAR,104099452,94163.0,1106.0
3675,10,203,Pashchim Champaran,3935042,5228.0,753.0
3732,10,204,Purba Champaran,5099371,3968.0,1285.0
3816,10,205,Sheohar,656246,349.0,1880.0
3834,10,206,Sitamarhi,3423574,2294.0,1492.0
