,State Code,District Code,Name,Population (Person),Area,Population Density
12747,23,464,Jhabua,1025048,3600.0,284.73555555555555
12765,23,465,Alirajpur,728999,3182.0,229.10087994971715
12777,23,466,Khandwa (East Nimar),1310061,7352.0,178.19110446137105
12795,23,467,Burhanpur,757847,3427.0,221.14006419608987
12807,24,0,GUJARAT,60439692,196244.0,307.98236888771123
12810,24,468,Kachchh ^,2092371,45674.0,45.81098655690327
12843,24,469,Banas Kantha,3120506,10743.0,290.46877036209617
12882,24,470,Patan  ,1343734,5792.0,231.998273480663
12906,24,471,Mahesana,2035064,4401.0,462.40945239718246
12936,24,472,Sabar Kantha,2428589,7394.0,328.4540167703543
12978,24,473,Gandhinagar,1391753,2140.0,650.3518691588785
12993,24,474,Ahmadabad,7214225,8107.0,889.8760330578513
13029,24,475,Surendranagar,1756268,10423.0,168.49928043749398
13062,24,476,Rajkot,3804558,11198.0,339.75334881228787
13107,24,477,Jamnagar,2160119,14184.0,152.29265369430343
13140,24,478,Porbandar ,585449,2316.0,252.78454231433503
13152,24,479,Junagadh,2743082,8831.0,310.6196353753822
13197,24,480,Amreli,1514190,7397.0,204.70325807759903
13233,24,481,Bhavnagar,2880365,10034.0,287.0604943193144
13269,24,482,Anand  ,2092745,3204.0,653.166354556804
13296,24,483,Kheda,2299885,3953.000487734537,581.8074161984389
13329,24,484,Panch Mahals,2390776,5231.0,457.03995411967117
13365,24,485,Dohad  ,2127086,3642.0,584.0433827567269
13389,24,486,Vadodara,4165626,7546.0,552.03100980652
13428,24,487,Narmada,590297,2817.0,209.54810081647145
13443,24,488,Bharuch,1551019,6509.0,238.28836994930094
13470,24,489,The Dangs,228291,1765.9999973032948,129.27010212265196
13476,24,490,Navsari  ,1329672,2246.0,592.0178094390028
13494,24,491,Valsad,1705678,3008.0,567.0472074468087
13512,24,492,Surat,6081322,4549.0,1336.848098483183
13545,24,493,Tapi,807022,3139.0,257.09525326537107
13563,25,0,DAMAN & DIU,243247,111.0,2191.4144144144143
13566,25,494,Diu,52074,39.0,1335.2307692307693
13572,25,495,Daman,191173,72.0,2655.180555555556
13578,26,0,DADRA & NAGAR HAVELI,343709,491.0,700.0183299389003
13581,26,496,Dadra & Nagar Haveli,343709,491.0,700.0183299389003
13587,27,0,MAHARASHTRA,112374333,307713.0,365.19202308644736
13590,27,497,Nandurbar,1648295,5955.0,276.791771620487
13611,27,498,Dhule,2050862,7195.0,285.0398888116748
13626,27,499,Jalgaon,4229917,11765.0,359.53395665108366
13674,27,500,Buldana,2586258,9661.0,267.7008591243142
13716,27,501,Akola,1813906,5672.81,319.7544074277122
13740,27,502,Washim,1197160,4901.190000000001,244.25904729259625
13761,27,503,Amravati,2888445,12210.0,236.5638820638821
13806,27,504,Wardha,1300774,6309.0,206.17752417181805
13833,27,505,Nagpur,4653570,9892.0,470.4377274565305
13878,27,506,Bhandara,1200334,4087.0,293.69562025935886
13902,27,507,Gondiya,1322507,5234.0,252.6761559037065
13929,27,508,Gadchiroli,1072942,14412.0,74.44782126006106
13968,27,509,Chandrapur,2204307,11443.000000000002,192.63366250109237
14016,27,510,Yavatmal,2772348,13582.0,204.11927551170663
14067,27,511,Nanded,3361292,10528.0,319.2716565349544
14118,27,512,Hingoli,1177345,4827.0,243.9082245701264
14136,27,513,Parbhani,1836086,6214.0,295.4757000321854
14166,27,514,Jalna ###,1959046,7694.11,254.83889850781605
14193,27,515,Aurangabad ###,3701282,10130.89,365.10400380365786
14223,27,516,Nashik,6107187,15530.0,393.2509336767545
14271,27,517,Thane,11060148,9558.0,1157.1613308223475
14319,27,518,Mumbai Suburban,9356962,446.0,20979.735426008967
14325,27,519,Mumbai,3085411,157.0,19652.29936305733
14331,27,520,Raigarh,2634200,7152.0,368.31655480984335
14379,27,521,Pune,9429408,15643.0,602.7877005689446
14424,27,522,Ahmadnagar,4543159,17048.0,266.4921984983576
14469,27,523,Bid,2585049,10693.0,241.75151968577572
14505,27,524,Latur,2454196,7157.0,342.9084812072097
14538,27,525,Osmanabad,1657576,7569.0,218.99537587528079
14565,27,526,Solapur,4317756,14895.0,289.879556898288
14601,27,527,Satara,3003741,10480.0,286.6165076335878
14637,27,528,Ratnagiri,1615069,8208.0,196.76766569200782
14667,27,529,Sindhudurg,849651,5207.0,163.1747647397734
14694,27,530,Kolhapur,3876001,7685.0,504.3592713077424
14733,27,531,Sangli,2822143,8572.0,329.2280681287914
14766,28,0,ANDHRA PRADESH,84580777,275045.0,307.5161409951099
14769,28,532,Adilabad,2741239,16105.0,170.21043154299906
14928,28,533,Nizamabad,2551335,7956.0,320.68061840120663
15039,28,534,Karimnagar,3776269,11823.0,319.40023682652463
15213,28,535,Medak,3033288,9699.0,312.7423445716053
15354,28,536,Hyderabad,3943323,216.9995611129232,18172.032145023357
15405,28,537,Rangareddy,5296741,7492.999953867163,706.8919034580182
15519,28,538,Mahbubnagar,4053028,18432.0,219.89084201388889
15714,28,539,Nalgonda,3488809,14240.0,245.00063202247193
15894,28,540,Warangal,3512576,12846.0,273.43733457885725
16050,28,541,Khammam,2797370,16029.0,174.5193087528854
16191,28,542,Srikakulam,2703114,5837.0,463.0998800753812
16308,28,543,Vizianagaram,2344474,6539.0,358.5370851812204
16413,28,544,Visakhapatnam,4290589,11161.0,384.42693307051337
16545,28,545,East Godavari,5154296,10807.0,476.9405015267882
16728,28,546,West Godavari,3936966,7742.0,508.5205373288556
16869,28,547,Krishna,4517398,8727.0,517.634696917612
17022,28,548,Guntur,4887813,11391.0,429.094284961812
17196,28,549,Prakasam,3397448,17626.0,192.75207080449337
17367,28,550,Sri Potti Sriramulu Nellore,2963557,13076.0,226.6409452431936
17508,28,551,Y.S.R.,2882469,15359.0,187.67296047919785
17664,28,552,Kurnool,4053463,17658.0,229.5539132404576
17829,28,553,Anantapur,4081148,19130.0,213.3375849451124
18021,28,554,Chittoor,4174064,15152.000152556364,275.47940588528667
18222,29,0,KARNATAKA,61095297,191791.0,319.0
18225,29,555,Belgaum,4779661,13433.0,356.0
18258,29,556,Bagalkot ,1889752,6552.0,288.0
18282,29,557,Bijapur,2177331,10498.0,207.0
18300,29,558,Bidar,1703300,5448.0,313.0
18318,29,559,Raichur,1928812,8442.0,228.0
18336,29,560,Koppal,1389920,5570.0,250.0
18351,29,561,Gadag,1064570,4657.0,229.0
18369,29,562,Dharwad,1847023,4260.0,434.0
18390,29,563,Uttara Kannada,1437169,10277.0,140.0
18429,29,564,Haveri,1597668,4823.0,331.0
18453,29,565,Bellary,2452595,8461.0,290.0
18477,29,566,Chitradurga,1659456,8436.0,197.0
18498,29,567,Davanagere,1945497,5924.0,328.0
18519,29,568,Shimoga,1752753,8478.0,207.0
18543,29,569,Udupi,1177361,3582.0,329.0
18555,29,570,Chikmagalur,1137961,7202.0,158.0
18579,29,571,Tumkur,2678980,10597.0,253.0
18612,29,572,Bangalore,9621551,2196.0,4381.0
18630,29,573,Mandya,1805769,4962.0,364.0
18654,29,574,Hassan,1776421,6814.0,261.0
18681,29,575,Dakshina Kannada,2089649,4861.0,430.0
18699,29,576,Kodagu,554519,4102.0,135.0
18711,29,577,Mysore,3001127,6307.0,476.0
18735,29,578,Chamarajanagar,1020791,5648.0,181.0
18750,29,579,Gulbarga,2566326,10954.0,234.0
18774,29,580,Yadgir,1174271,5270.0,223.0
18786,29,581,Kolar,1536401,3979.0,386.0
18804,29,582,Chikkaballapura,1255104,4244.0,296.0
18825,29,583,Bangalore Rural,990923,2298.0,431.0
18840,29,584,Ramanagara,1082636,3516.0,308.0
18855,30,0,GOA,1458545,3702.0,394.0
18858,30,585,North Goa,818008,1736.0,471.0
18879,30,586,South Goa,640537,1966.0,326.0
18897,31,0,LAKSHADWEEP,64473,30.0,2149.0
18900,31,587,Lakshadweep,64473,30.0,2149.0
18933,32,0,KERALA,33406061,38852.0,860.0
18936,32,588,Kasaragod,1307375,1989.0,657.0
18945,32,589,Kannur,2523003,2961.0,852.0
18957,32,590,Wayanad,817420,2130.0,384.0
18969,32,591,Kozhikode,3086293,2345.0,1316.0
18981,32,592,Malappuram,4112920,3554.0,1157.0
19002,32,593,Palakkad,2809934,4482.0,627.0
19020,32,594,Thrissur,3121200,3027.0,1031.0
19038,32,595,Ernakulam,3282388,3063.0,1072.0
19062,32,596,Idukki ,1108974,4356.0,255.0
19077,32,597,Kottayam,1974551,2206.0,895.0
19095,32,598,Alappuzha,2127789,1415.0,1504.0
19116,32,599,Pathanamthitta,1197412,2652.0,452.0
19134,32,600,Kollam,2635375,2483.0,1061.0
19152,32,601,Thiruvananthapuram,3301427,2189.0,1508.0
19167,33,0,TAMIL NADU,72147030,130060.0,555.0
19170,33,602,Thiruvallur,3728104,3394.0,1098.0
19200,33,603,Chennai,4646732,175.0,26553.0
19206,33,604,Kancheepuram,3998252,4482.999999983323,892.0
19239,33,605,Vellore,3936331,6075.0,648.0
19269,33,606,Tiruvannamalai,2464875,6188.000190196117,398.0
19293,33,607,Viluppuram,3458873,7194.000000000001,481.0
19320,33,608,Salem,3482056,5236.999112977625,665.0
19350,33,609,Namakkal   ,1726601,3419.9988176242136,505.0
19365,33,610,Erode,2251744,5759.997003884148,391.0
19383,33,611,The Nilgiris,735394,2564.997344388933,287.0
19404,33,612,Dindigul,2159775,6036.0,358.0
19431,33,613,Karur ,1064493,2904.0,367.0
19449,33,614,Tiruchirappalli,2722290,4509.0,604.0
19479,33,615,Perambalur  ,565223,1756.0,322.0
19491,33,616,Ariyalur  ,754894,1940.0020922957456,389.0
19503,33,617,Cuddalore,2605914,3702.9999743296858,704.0
19527,33,618,Nagapattinam  ,1616450,2568.997363248056,629.0
19554,33,619,Thiruvarur,1264277,2274.0042677106085,556.0
19578,33,620,Thanjavur,2405890,3410.9995919269336,705.0
19605,33,621,Pudukkottai,1618345,4644.000000000001,348.0
19641,33,622,Sivaganga,1339101,4233.0,316.0
19662,33,623,Madurai,3038252,3710.0014517563372,819.0
19686,33,624,Theni  ,1245899,2868.000162919307,434.0
19704,33,625,Virudhunagar,1942288,4240.998101463051,458.0
19731,33,626,Ramanathapuram,1353445,4103.999538381393,330.0
19755,33,627,Thoothukkudi,1750176,4745.0,369.0
19782,33,628,Tirunelveli ,3077233,6693.0,460.0
19818,33,629,Kanniyakumari,1870374,1683.99887541413,1111.0
19833,33,630,Dharmapuri,1506843,4497.0,335.0
19851,33,631,Krishnagiri,1879809,5129.0,367.0
19869,33,632,Coimbatore,3458045,4731.997040741916,731.0
19890,33,633,Tiruppur,2479052,5187.0,478.0
19914,34,0,PUDUCHERRY,1247953,490.0,2547.0
19917,34,634,Yanam,55626,30.0,1854.0
19923,34,635,Puducherry,950289,294.0,3232.0
19938,34,636,Mahe,41816,9.0,4646.0
19944,34,637,Karaikal,200222,157.0,1275.0
19953,35,0,ANDAMAN & NICOBAR ISLANDS,380581,8249.0,46.0
19956,35,638,Nicobars,36842,1841.0,20.0
19968,35,639,North  & Middle Andaman,105597,3736.0,28.0
19980,35,640,South Andaman,238142,2672.0,89.0
